date,gz_spread,ebp,est_prob
AUG2010,2.6545,-0.4730,0.0872358159
SEP2010,2.4959,-0.1070,0.1902234536
OCT2010,2.3770,-0.0483,0.211858583
NOV2010,2.3713,-0.1846,0.1637735838
DEC2010,2.1963,-0.4447,0.0932874525
JAN2011,2.0961,0.0234,0.2401818284
FEB2011,1.9780,-0.2517,0.1429329147
MAR2011,1.9362,-0.2924,0.1312192476
APR2011,1.9362,-0.2540,0.1422506947
MAY2011,2.0287,-0.1347,0.1804905861
JUN2011,2.1099,-0.0039,0.2291424693
JUL2011,2.1698,-0.0780,0.2007466512
AUG2011,2.7555,-0.2495,0.1436038226
SEP2011,3.0384,0.2252,0.3297398982
OCT2011,2.7455,-0.2975,0.129801224
NOV2011,2.9208,0.3345,0.3832613632
DEC2011,2.8244,0.0859,0.2664349667
JAN2012,2.6994,-0.0023,0.2297817999
FEB2012,2.4438,-0.1002,0.1926710436
MAR2012,2.3774,-0.5156,0.0786961042
APR2012,2.4753,-0.3369,0.1191691124
MAY2012,2.7413,-0.3374,0.1190371842
JUN2012,2.6972,-0.0366,0.2163519745
JUL2012,2.5472,-0.2232,0.1515618142
AUG2012,2.4799,-0.4260,0.09744336
SEP2012,2.3534,-0.3264,0.1219322397
OCT2012,2.1947,-0.3281,0.1214968114
NOV2012,2.2884,-0.1861,0.1632891381
DEC2012,2.1980,-0.2782,0.1352405451
JAN2013,2.0830,-0.1699,0.1686008985
FEB2013,2.1168,-0.1226,0.1846992729
MAR2013,2.1015,-0.1774,0.1661442304
APR2013,2.0427,-0.2173,0.1533792511
MAY2013,1.9639,-0.5909,0.0651600128
JUN2013,2.1417,-0.4495,0.0922415729
JUL2013,2.0069,-0.0272,0.2199973074
AUG2013,1.9792,-0.1449,0.1770048164
SEP2013,2.0337,-0.1530,0.1742485442
OCT2013,1.9462,-0.0331,0.2176921683
NOV2013,1.8959,0.0185,0.23816696
DEC2013,1.7589,-0.0978,0.1935216966
JAN2014,1.7986,-0.3026,0.1283913331
FEB2014,1.6999,-0.1972,0.1597216533
MAR2014,1.6528,-0.2604,0.1403663221
APR2014,1.5795,-0.3646,0.1120757944
MAY2014,1.5755,-0.3931,0.1051097943
JUN2014,1.5531,-0.3199,0.1236861378
JUL2014,1.5915,-0.3399,0.1183907281
AUG2014,1.5858,-0.3535,0.1148903221
SEP2014,1.7142,-0.2675,0.138294695
OCT2014,1.8339,-0.2805,0.1345790996
NOV2014,1.9756,-0.0301,0.2188594529
DEC2014,2.0840,-0.0171,0.2239591012
JAN2015,2.0920,-0.2569,0.1414198087
FEB2015,1.9331,-0.4115,0.1007803605
MAR2015,2.0423,-0.2421,0.1458052435
APR2015,2.0023,-0.0800,0.2000234631
MAY2015,1.9887,-0.0277,0.2197802423
JUN2015,2.1410,0.1274,0.284646922
JUL2015,2.2380,0.1209,0.2817533901
AUG2015,2.4128,0.3251,0.3785500994
SEP2015,2.5760,0.3975,0.4151702494
OCT2015,2.3864,0.3306,0.3812698564
NOV2015,2.4718,0.4186,0.4260114482
DEC2015,2.6396,0.5553,0.4972370438
JAN2016,2.9917,0.7272,0.5866588595
FEB2016,3.0688,0.7834,0.6151562508
MAR2016,2.6629,0.4482,0.4413542324
APR2016,2.4259,0.1312,0.2863418354
MAY2016,2.3789,0.1072,0.2757101141
JUN2016,2.4381,-0.1722,0.1678349196
JUL2016,2.2294,-0.2237,0.1513970902
AUG2016,2.0318,-0.2050,0.1572616085
SEP2016,2.0132,-0.2643,0.1392501498
OCT2016,1.8703,-0.2267,0.1504940545
NOV2016,1.8040,-0.9275,0.0252844978
DEC2016,1.6953,-0.3373,0.1190814016
JAN2017,1.6244,-0.2956,0.130319834
FEB2017,1.5812,-0.2818,0.1342019748
MAR2017,1.6229,-0.3145,0.125125171
